Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2016-07-26,20.04435157775879,,22.434066772460938,15.965665817260742,49.219451904296875,20.64573097229004,42.059539794921875,24.415159225463867,19.0240535736084,63.254215240478516,36.78441619873047
2016-07-27,20.068925857543945,,22.214221954345703,15.958921432495117,49.025821685791016,20.816762924194336,41.432579040527344,24.23394775390625,18.805421829223633,63.54178237915039,36.67177200317383
2016-07-28,20.040254592895508,,22.21755599975586,15.992680549621582,49.008975982666016,20.830263137817383,41.61608123779297,24.383190155029297,18.878305435180664,63.48258972167969,36.739356994628906
2016-07-29,19.937883377075195,,22.444059371948242,15.965665817260742,48.865848541259766,20.906782150268555,41.8225212097168,24.644716262817383,18.991256713867188,63.60944366455078,36.7799072265625
2016-08-01,19.82732582092285,,21.7045841217041,15.925166130065918,48.806907653808594,20.94729232788086,41.86838912963867,24.72430419921875,19.002197265625,64.01548767089844,36.8385009765625
2016-08-02,19.774093627929688,,21.901111602783203,15.790146827697754,48.35227584838867,20.78975486755371,41.80723190307617,24.34764862060547,18.878305435180664,63.77015686035156,36.28874588012695
2016-08-03,19.82322883605957,,22.324142456054688,15.952170372009277,48.588008880615234,20.861774444580078,41.57786560058594,24.162878036499023,18.765348434448242,63.59253692626953,36.39238739013672
2016-08-04,19.905126571655273,,22.290834426879883,15.911662101745605,48.6048469543457,20.974306106567383,41.66960525512695,24.12023162841797,18.754411697387695,63.499481201171875,36.374351501464844
2016-08-05,19.970643997192383,,22.49402618408203,16.2154483795166,49.093162536621094,21.176837921142578,41.73841857910156,24.12023162841797,18.484777450561523,63.65176773071289,36.75737380981445
2016-08-08,20.011600494384766,,22.793813705444336,16.235700607299805,49.160526275634766,21.17233657836914,41.692535400390625,24.113130569458008,18.47749137878418,63.11042785644531,36.635719299316406
2016-08-09,19.95016860961914,,22.67389488220215,16.24919891357422,49.1436882019043,21.217342376708984,41.8225212097168,24.27659034729004,18.473844528198242,63.26265335083008,36.52756118774414
2016-08-10,19.954265594482422,,22.427404403686523,16.120935440063477,49.11842727661133,21.149837493896484,41.975440979003906,24.226835250854492,18.47749137878418,63.05119323730469,36.60417938232422
2016-08-11,20.040254592895508,,22.75716781616211,16.154691696166992,49.43836212158203,21.226350784301758,41.975440979003906,23.999422073364258,18.521211624145508,63.41490936279297,36.969173431396484
2016-08-12,19.82732582092285,,22.88374900817871,16.107437133789062,49.30366897583008,21.203845977783203,42.12070846557617,24.07759666442871,18.546720504760742,63.254215240478516,36.95115661621094
2016-08-15,20.027971267700195,,23.06695556640625,16.2154483795166,49.632015228271484,21.307363510131836,42.013675689697266,24.049171447753906,18.26250648498535,63.36416244506836,37.02326202392578
2016-08-16,19.9215087890625,,23.103591918945312,16.174945831298828,49.41311264038086,21.149837493896484,41.830162048339844,23.757789611816406,18.047529220581055,62.79743576049805,36.811466217041016
2016-08-17,19.905126571655273,,23.173540115356445,16.228952407836914,49.55624008178711,21.14082908630371,41.94485855102539,23.857288360595703,18.317161560058594,62.9243049621582,36.72584533691406
2016-08-18,20.03206443786621,,23.64986801147461,16.2154483795166,49.7077751159668,21.149837493896484,42.090126037597656,23.807540893554688,18.543079376220703,62.949684143066406,36.70330810546875
2016-08-19,20.060733795166016,,23.453338623046875,16.208694458007812,49.69093322753906,21.163330078125,41.99073791503906,23.62276268005371,18.317161560058594,62.898948669433594,36.72584533691406
