Date,QQQ
2018-12-04,157.7769317626953
2018-12-06,158.89080810546875
2018-12-07,153.6449432373047
2018-12-10,155.25393676757812
2018-12-11,155.76800537109375
2018-12-12,157.1390380859375
2018-12-13,157.18661499023438
2018-12-14,153.3592987060547
2018-12-17,149.88421630859375
2018-12-18,150.82676696777344
2018-12-19,147.12319946289062
2018-12-20,144.99063110351562
2018-12-21,140.49681091308594
2018-12-24,137.01280212402344
2018-12-26,145.5677032470703
2018-12-27,146.13107299804688
2018-12-28,146.05467224121094
2018-12-31,147.28631591796875
2019-01-02,147.87835693359375
2019-01-03,143.04708862304688
2019-01-04,149.16729736328125
2019-01-07,150.94322204589844
2019-01-08,152.30859375
2019-01-09,153.54983520507812
2019-01-10,153.9890594482422
2019-01-11,153.42568969726562
2019-01-14,152.0698699951172
2019-01-15,155.0392608642578
2019-01-16,155.01060485839844
2019-01-17,156.23280334472656
2019-01-18,157.77952575683594
2019-01-22,154.6191864013672
2019-01-23,154.8197021484375
2019-01-24,155.82220458984375
2019-01-25,157.68405151367188
2019-01-28,155.73631286621094
2019-01-29,154.26588439941406
2019-01-30,158.19009399414062
2019-01-31,160.55799865722656
2019-02-01,159.8800811767578
2019-02-04,161.86607360839844
2019-02-05,163.2982177734375
2019-02-06,162.81129455566406
2019-02-07,160.62481689453125
2019-02-08,160.93988037109375
2019-02-11,160.78713989257812
2019-02-12,163.16455078125
2019-02-13,163.27915954589844
2019-02-14,163.4796905517578
2019-02-15,164.16712951660156
2019-02-19,164.49176025390625
2019-02-20,164.4630889892578
2019-02-21,163.86154174804688
2019-02-22,165.07420349121094
2019-02-25,165.67568969726562
2019-02-26,165.8475341796875
2019-02-27,165.7425079345703
2019-02-28,165.36062622070312
2019-03-01,166.50633239746094
2019-03-04,166.5349884033203
2019-03-05,166.6591339111328
2019-03-06,165.7139129638672
2019-03-07,163.6801300048828
2019-03-08,163.43190002441406
2019-03-11,166.8310089111328
2019-03-12,167.74754333496094
2019-03-13,169.00791931152344
2019-03-14,168.7214813232422
2019-03-15,170.28732299804688
2019-03-18,170.69287109375
2019-03-19,171.26681518554688
2019-03-20,171.94595336914062
2019-03-21,174.6337890625
2019-03-22,170.79811096191406
2019-03-25,170.4728546142578
2019-03-26,171.26681518554688
2019-03-27,170.16680908203125
2019-03-28,170.55899047851562
2019-03-29,171.85031127929688
2019-04-01,174.12684631347656
2019-04-02,174.78684997558594
2019-04-03,175.79124450683594
2019-04-04,175.7242431640625
2019-04-05,176.63299560546875
2019-04-08,177.08251953125
2019-04-09,176.46075439453125
2019-04-10,177.40771484375
2019-04-11,176.98687744140625
2019-04-12,177.75210571289062
2019-04-15,177.78074645996094
2019-04-16,178.39300537109375
2019-04-17,179.01470947265625
2019-04-18,179.24429321289062
2019-04-22,179.75123596191406
2019-04-23,182.03733825683594
2019-04-24,181.4634246826172
2019-04-25,182.199951171875
2019-04-26,182.36253356933594
2019-04-29,182.71649169921875
2019-04-30,181.30079650878906
2019-05-01,180.71734619140625
2019-05-02,179.9329833984375
2019-05-03,182.80258178710938
2019-05-06,181.6834259033203
2019-05-07,178.1442413330078
2019-05-08,177.6947479248047
2019-05-09,176.73814392089844
2019-05-10,176.9581756591797
2019-05-13,170.81719970703125
2019-05-14,172.69204711914062
2019-05-15,175.13121032714844
2019-05-16,176.89122009277344
2019-05-17,175.08335876464844
2019-05-20,172.12771606445312
2019-05-21,173.92593383789062
2019-05-22,173.15121459960938
2019-05-23,170.5015869140625
2019-05-24,170.41551208496094
2019-05-28,169.77462768554688
2019-05-29,168.37806701660156
2019-05-30,169.08595275878906
2019-05-31,166.38848876953125
2019-06-03,162.72500610351562
2019-06-04,167.3067626953125
2019-06-05,168.55026245117188
2019-06-06,169.88943481445312
2019-06-07,173.17030334472656
2019-06-10,175.1885528564453
2019-06-11,175.4276885986328
2019-06-12,174.4137725830078
2019-06-13,175.44683837890625
2019-06-14,174.7007598876953
2019-06-17,175.7529296875
