Date,EWA,EWC
2011-02-25,13.204845428466797,23.97551727294922
2011-02-28,13.245430946350098,24.329574584960938
2011-03-01,12.951199531555176,24.185070037841797
2011-03-02,13.1084566116333,24.30068588256836
2011-03-03,13.245430946350098,24.48855209350586
2011-03-04,13.164260864257812,24.553585052490234
2011-03-07,12.956274032592773,24.228422164916992
2011-03-08,13.052653312683105,24.13448715209961
2011-03-09,12.966418266296387,24.00441551208496
2011-03-10,12.519999504089355,23.375762939453125
2011-03-11,12.667113304138184,23.54918098449707
2011-03-14,12.535221099853516,23.448022842407227
2011-03-15,12.175040245056152,23.065052032470703
2011-03-16,11.89603042602539,22.855497360229492
2011-03-17,12.043143272399902,23.346860885620117
2011-03-18,12.377960205078125,23.469701766967773
2011-03-21,12.656970024108887,23.97551727294922
2011-03-22,12.656970024108887,23.953842163085938
2011-03-23,12.758429527282715,24.026094436645508
2011-03-24,13.017148971557617,24.0694522857666
2011-03-25,13.07295036315918,23.939382553100586
2011-03-28,13.0628023147583,23.75873374938965
2011-03-29,13.270792007446289,23.896032333374023
2011-03-30,13.4635648727417,24.23565101623535
2011-03-31,13.504148483276367,24.286226272583008
2011-04-01,13.661412239074707,24.5174560546875
2011-04-04,13.646188735961914,24.56804656982422
2011-04-05,13.630970001220703,24.712553024291992
2011-04-06,13.849108695983887,24.71977996826172
2011-04-07,13.838964462280273,24.546356201171875
2011-04-08,13.981002807617188,24.777585983276367
2011-04-11,14.011445045471191,24.394620895385742
2011-04-12,13.742578506469727,23.932157516479492
2011-04-13,13.849108695983887,23.968284606933594
2011-04-14,13.879544258117676,23.982736587524414
2011-04-15,13.81359577178955,23.9249324798584
2011-04-18,13.630970001220703,23.672027587890625
2011-04-19,13.651264190673828,23.9249324798584
2011-04-20,14.057096481323242,24.264551162719727
2011-04-21,14.224506378173828,24.45242691040039
2011-04-25,14.239725112915039,24.29345703125
2011-04-26,14.315817832946777,24.36571502685547
2011-04-27,14.346254348754883,24.37293815612793
2011-04-28,14.38176441192627,24.35848617553711
2011-04-29,14.34118366241455,24.351261138916016
2011-05-02,14.168705940246582,24.430740356445312
2011-05-03,13.950569152832031,23.953842163085938
2011-05-04,13.605607032775879,23.672027587890625
2011-05-05,13.397614479064941,23.151763916015625
